Weather_Condition,Severity,count
Ice Pellets,3,11
Light Snow and Sleet / Windy,3,10
Drizzle,1,10
Widespread Dust,3,10
Overcast,1,10
Thunderstorm,3,10
Thunder / Windy,1,9
Heavy Freezing Rain,2,9
Squalls / Windy,3,9
Thunder / Wintry Mix / Windy,2,9
Light Snow and Sleet,4,9
Heavy Drizzle,4,9
Light Rain Shower,1,8
Snow and Sleet / Windy,3,8
Mist,1,8
Sleet,3,8
Blowing Dust / Windy,4,8
Blowing Dust / Windy,1,8
Wintry Mix / Windy,4,7
Smoke,1,7
Light Freezing Rain / Windy,3,7
Smoke / Windy,3,7
Heavy Sleet,3,7
Drizzle and Fog,4,7
Shallow Fog / Windy,2,7
T-Storm / Windy,1,6
Sand / Dust Whirls Nearby,2,6
Sand / Dust Whirlwinds,3,6
Freezing Drizzle,3,5
Rain Shower,3,5
Sleet,4,5
Light Snow Shower / Windy,2,5
Small Hail,3,5
Light Freezing Rain / Windy,4,5
Snow Grains,2,5
Drizzle / Windy,3,4
Rain Shower,4,4
Funnel Cloud,2,4
Sand / Dust Whirlwinds / Windy,2,4
Light Thunderstorms and Snow,2,4
Heavy Snow with Thunder,2,4
Drifting Snow / Windy,2,4
Heavy Freezing Drizzle,2,4
Sleet and Thunder,2,4
Hail,4,4
Light Sleet,4,4
Light Thunderstorms and Rain,4,4
Thunder / Wintry Mix,3,3
Squalls / Windy,4,3
Light Snow Grains,2,3
Light Snow Showers,3,3
Heavy Snow with Thunder,3,3
Light Snow Shower,4,3
Rain Shower / Windy,2,3
Light Snow / Windy,1,3
Patches of Fog / Windy,4,3
Widespread Dust / Windy,3,2
Sleet / Windy,3,2
Haze / Windy,1,2
Light Drizzle / Windy,1,2
Light Snow with Thunder,3,2
Light Sleet / Windy,3,2
Patches of Fog / Windy,2,2
Light Snow Shower,3,2
Low Drifting Snow,2,2
Heavy Blowing Snow,3,2
Thunderstorms and Rain,4,2
Light Rain Showers,3,2
Low Drifting Snow,3,2
Heavy Sleet and Thunder,2,2
Drifting Snow / Windy,4,2
Duststorm,2,2
Small Hail,4,2
Patches of Fog / Windy,3,2
Heavy Rain Shower,2,2
Heavy Thunderstorms and Rain,4,2
Light Rain Shower / Windy,1,2
Light Sleet,1,2
Wintry Mix,1,2
N/A Precipitation,1,1
Drizzle and Fog,1,1
Heavy Freezing Rain / Windy,3,1
Tornado,1,1
Snow and Thunder / Windy,3,1
Duststorm,3,1
Squalls,3,1
Widespread Dust,4,1
Rain and Sleet,3,1
Rain and Sleet,2,1
Partial Fog,3,1
Partial Fog / Windy,3,1
Funnel Cloud,3,1
Light Rain Showers,2,1
Snow and Thunder,3,1
Light Snow Showers,2,1
Thunder / Wintry Mix / Windy,3,1
Scattered Clouds,1,1
Tornado,4,1
Thunder and Hail / Windy,2,1
Heavy Sleet / Windy,2,1
Sand / Windy,2,1
Thunder / Wintry Mix,4,1
Heavy Rain Shower / Windy,2,1
Snow and Thunder / Windy,2,1
Blowing Snow Nearby,2,1
Blowing Sand,2,1
Squalls / Windy,1,1
Partial Fog,4,1
Widespread Dust,1,1
Blowing Dust,1,1
Heavy Snow / Windy,1,1
Heavy Snow,1,1
Drifting Snow,2,1
Heavy Rain Shower,3,1
Light Ice Pellets,4,1
Ice Pellets,4,1
Thunder and Hail,1,1
Light Thunderstorms and Snow,4,1
Thunder and Hail / Windy,3,1
Sand / Dust Whirlwinds,4,1
Light Snow with Thunder,4,1
Heavy Snow with Thunder,4,1
